customer_age,gender_male,engagement_score,avg_session_duration_seconds,clicked_ad,items_in_cart,is_loyal_customer,last_purchase_value_usd
39,TRUE,23.2,91,TRUE,0,FALSE,1121.87
24,TRUE,30.1,87,FALSE,0,FALSE,1131.51
19,TRUE,41.1,100,FALSE,0,FALSE,1146.8
20,TRUE,43,86,FALSE,0,FALSE,1149.4
30,TRUE,53.1,97,FALSE,0,FALSE,1163.46
36,TRUE,19.8,88,TRUE,0,FALSE,1241.57
37,TRUE,20.3,90,TRUE,0,FALSE,1242.26
19,TRUE,20.7,81,FALSE,0,FALSE,1242.82
35,TRUE,34.1,90,FALSE,0,FALSE,1261.44
41,TRUE,34.4,84,FALSE,0,FALSE,1261.86
49,TRUE,35.4,97,TRUE,0,FALSE,1263.25
48,TRUE,33.3,91,TRUE,0,FALSE,1391.53
45,TRUE,23.2,85,TRUE,0,FALSE,1515.34
34,TRUE,31.1,96,FALSE,0,FALSE,1526.31
18,TRUE,35.5,100,TRUE,0,FALSE,1532.47
42,TRUE,36.9,93,FALSE,0,FALSE,1534.3
50,FALSE,20.8,85,TRUE,0,FALSE,1607.51
23,TRUE,43,86,FALSE,0,FALSE,1149.4
36,FALSE,26.7,97,TRUE,0,FALSE,1615.77
30,TRUE,17.5,93,TRUE,0,FALSE,1621.34
58,FALSE,31.1,87,FALSE,0,FALSE,1621.88
35,FALSE,31.4,93,FALSE,0,FALSE,1622.19
29,TRUE,20.4,80,TRUE,0,FALSE,1625.43
49,TRUE,21.8,80,FALSE,0,FALSE,1627.28
21,TRUE,22.6,96,TRUE,0,FALSE,1628.47
52,FALSE,36.9,81,FALSE,0,FALSE,1629.83
43,FALSE,38.2,86,TRUE,0,FALSE,1631.67
47,FALSE,38.3,93,FALSE,0,FALSE,1631.82
48,TRUE,25.2,98,FALSE,0,FALSE,1632.04
34,TRUE,25.6,83,FALSE,0,FALSE,1632.56
28,FALSE,39.2,87,FALSE,0,FALSE,1633.04
49,FALSE,39.8,100,TRUE,0,FALSE,1633.96
29,FALSE,40.3,94,FALSE,0,FALSE,1634.57
18,TRUE,27.8,93,FALSE,0,FALSE,1635.73
32,TRUE,30.6,93,FALSE,0,FALSE,1639.56
44,TRUE,30.6,82,FALSE,0,FALSE,1639.56
37,TRUE,35.5,91,FALSE,0,FALSE,1646.43
29,TRUE,26.8,94,TRUE,0,FALSE,1665
24,TRUE,33.8,89,FALSE,0,FALSE,1674.63
31,TRUE,39.5,80,TRUE,0,FALSE,1682.6
34,TRUE,16,83,FALSE,0,FALSE,1694.8
30,TRUE,21.5,83,TRUE,0,FALSE,1702.46
45,TRUE,23,81,TRUE,0,FALSE,1704.57
31,TRUE,23.1,81,TRUE,0,FALSE,1704.7
30,TRUE,23.8,91,TRUE,0,FALSE,1705.62
34,TRUE,25.5,82,TRUE,0,FALSE,1708
21,TRUE,26.1,87,TRUE,0,FALSE,1708.93
21,TRUE,23.3,80,TRUE,1,FALSE,1711.03
23,TRUE,28.5,88,TRUE,0,FALSE,1712.23
